studentid,famsize,Pstatus,Medu,Fedu,Mjob,Fjob
6549472,GT3,A,4,4,at_home,teacher
3983519,GT3,T,1,1,at_home,other
9934164,LE3,T,1,1,at_home,other
1153571,GT3,T,4,2,health,services
1236413,GT3,T,3,3,other,other
5457367,LE3,T,4,3,services,other
6111349,LE3,T,2,2,other,other
2618469,GT3,A,4,4,other,teacher
2121243,LE3,A,3,2,services,other
1268824,GT3,T,3,4,other,other
8616924,GT3,T,4,4,teacher,health
8174873,GT3,T,2,1,services,other
7165870,LE3,T,4,4,health,services
6192280,GT3,T,4,3,teacher,other
3663629,GT3,A,2,2,other,other
7710604,GT3,T,4,4,health,other
7167230,GT3,T,4,4,services,services
5500428,GT3,T,3,3,other,other
6021089,GT3,T,3,2,services,services
2873384,LE3,T,4,3,health,other
7650448,GT3,T,4,3,teacher,other
3503697,GT3,T,4,4,health,health
9792797,LE3,T,4,2,teacher,other
9531491,LE3,T,2,2,other,other
9657177,GT3,T,2,4,services,health
3680072,GT3,T,2,2,services,services
8257084,GT3,T,2,2,other,other
5801990,GT3,T,4,2,health,services
3762951,LE3,A,3,4,services,other
7756671,GT3,T,4,4,teacher,teacher
9441425,GT3,T,4,4,health,services
8036279,GT3,T,4,4,services,services
5022390,GT3,T,4,3,teacher,at_home
7020542,LE3,T,3,3,other,other
4419790,GT3,T,3,2,other,other
9339512,GT3,T,2,3,other,other
4729021,LE3,T,4,3,teacher,services
9453674,GT3,A,4,4,other,teacher
3601908,GT3,T,3,4,services,health
7703770,GT3,T,2,2,at_home,other
9320635,LE3,T,2,2,other,other
9448425,LE3,T,4,4,teacher,other
9174464,GT3,T,4,4,services,teacher
5084660,GT3,T,2,2,services,services
6604530,LE3,T,2,2,other,at_home
1204101,LE3,A,4,3,other,other
8403413,LE3,A,3,3,other,services
5157391,GT3,T,4,3,health,services
3813013,GT3,T,4,2,teacher,other
5836635,GT3,T,4,4,services,teacher
4739185,LE3,T,2,2,services,services
6953610,LE3,T,4,2,health,other
6313317,LE3,A,4,2,health,health
6186055,GT3,T,4,4,services,services
7919081,LE3,A,3,3,other,other
3679392,GT3,A,2,1,other,other
9682186,GT3,A,4,3,services,services
3851216,GT3,T,4,4,teacher,health
9839633,LE3,T,1,2,other,at_home
4104223,GT3,T,4,2,services,other
4224640,GT3,T,4,4,health,teacher
6468613,GT3,T,1,1,services,services
9236823,LE3,T,1,2,other,services
7177837,GT3,T,4,3,teacher,health
3181766,LE3,T,4,3,services,services
9920948,LE3,T,4,3,teacher,services
7068165,GT3,A,4,4,other,services
3396676,GT3,T,3,1,services,other
1870439,LE3,T,2,2,health,services
8927988,LE3,T,3,1,other,other
6123113,GT3,T,3,1,other,other
7999775,GT3,T,4,2,other,other
2474261,GT3,T,1,1,other,other
2001341,GT3,T,3,1,other,other
3340237,GT3,T,3,3,other,services
1351172,GT3,T,4,3,teacher,other
1954042,GT3,T,4,0,teacher,other
4521529,GT3,T,2,2,other,other
9511518,GT3,T,2,1,other,other
9780067,GT3,T,3,4,at_home,other
4462658,GT3,T,2,3,other,services
9944657,GT3,T,2,3,other,other
6835372,LE3,T,3,2,services,other
3785648,LE3,T,2,2,services,services
9339146,GT3,T,1,1,other,other
3186929,GT3,T,4,4,services,services
6455077,LE3,T,2,2,at_home,other
6948316,GT3,T,4,2,other,other
4065823,GT3,T,2,2,services,other
2724090,LE3,A,4,4,teacher,health
8226924,GT3,T,3,3,other,other
9989076,GT3,T,4,3,services,other
8530664,LE3,T,3,1,other,other
1373179,GT3,T,4,2,teacher,services
8451145,LE3,T,2,2,services,health
5194211,GT3,T,1,1,at_home,other
1049817,GT3,T,4,3,services,other
3656358,GT3,T,2,1,other,other
9947939,GT3,T,4,4,other,other
7737931,GT3,T,4,3,other,at_home
5802956,GT3,T,4,4,services,services
3732974,GT3,T,4,4,services,teacher
9718916,GT3,T,4,4,services,other
4542385,GT3,T,3,2,services,other
8556039,GT3,A,3,4,services,other
9498196,GT3,A,3,3,other,health
5606746,GT3,T,2,2,other,other
2897826,GT3,T,3,3,services,other
2325542,GT3,T,4,4,other,other
3499792,LE3,T,4,4,health,health
4540587,LE3,A,4,4,teacher,teacher
1590354,GT3,T,3,3,services,other
9378213,GT3,T,2,2,at_home,other
4468059,LE3,T,4,2,teacher,other
1466558,GT3,T,2,1,health,services
7567354,GT3,T,4,4,teacher,teacher
2393897,GT3,T,4,4,other,teacher
5851490,GT3,T,3,3,other,services
9508538,GT3,T,1,3,other,other
2797014,GT3,T,3,4,other,other
5361566,GT3,T,1,2,at_home,services
7061068,GT3,T,2,2,services,services
9296343,LE3,T,2,4,other,health
9882634,GT3,T,4,4,health,other
5605949,GT3,T,2,2,other,other
7471314,GT3,T,3,4,services,services
4006406,LE3,A,3,4,other,other
5077183,GT3,T,0,1,at_home,other
6885585,GT3,T,2,2,services,other
9398605,GT3,T,4,4,teacher,teacher
1448001,GT3,T,3,4,services,teacher
9114973,GT3,T,1,1,at_home,other
3312693,LE3,T,2,2,other,other
3516160,GT3,A,3,4,services,other
1265909,GT3,T,3,4,at_home,teacher
9795214,GT3,T,4,4,services,at_home
8266505,GT3,T,3,4,at_home,other
6779437,GT3,A,3,3,other,other
1571517,LE3,T,1,1,services,other
9985157,GT3,T,4,4,teacher,teacher
7209579,GT3,T,4,3,teacher,services
9870554,LE3,T,2,2,services,services
9785644,GT3,T,4,4,teacher,services
4812966,LE3,T,1,1,at_home,at_home
1607529,GT3,T,2,1,other,other
3779413,GT3,T,1,1,other,services
9261403,GT3,T,3,2,health,services
9095624,GT3,T,1,2,at_home,other
3899879,GT3,T,4,4,teacher,teacher
7367799,LE3,A,2,1,services,other
5124322,LE3,T,1,1,other,other
4649907,LE3,T,2,1,at_home,other
5867118,GT3,T,3,3,services,services
3578133,GT3,T,3,2,services,at_home
1199841,GT3,T,4,4,other,teacher
6266475,GT3,T,2,3,at_home,services
2061496,LE3,T,1,2,other,other
3025253,GT3,T,1,1,at_home,other
8227764,GT3,T,2,2,at_home,other
3248038,GT3,T,3,3,other,services
5496388,LE3,T,2,1,at_home,other
8383998,GT3,T,3,2,other,other
6163089,LE3,T,1,2,other,other
4257484,GT3,T,1,3,at_home,services
1424764,LE3,T,1,1,other,services
5676239,GT3,T,3,2,services,services
5484811,GT3,T,2,2,other,other
6737258,GT3,T,4,2,health,services
4266566,GT3,T,2,2,other,other
9106392,GT3,T,4,4,health,health
2659591,GT3,T,3,4,other,other
2454139,GT3,T,1,0,other,other
7774872,LE3,T,4,4,teacher,other
3970801,GT3,T,1,3,at_home,services
3397742,LE3,T,3,3,other,other
2268848,LE3,T,4,3,teacher,other
7247271,GT3,T,2,2,services,other
7573313,GT3,T,3,3,other,other
1111273,GT3,T,4,2,teacher,services
6734680,GT3,T,4,3,other,other
5639102,GT3,T,4,3,teacher,other
1280188,GT3,T,3,3,services,other
7778221,GT3,T,2,4,services,services
3267669,LE3,T,3,3,other,other
2798532,GT3,T,3,2,other,other
4835027,GT3,T,3,3,services,services
9521086,GT3,T,1,2,services,services
7801326,LE3,T,2,1,other,other
2087388,GT3,A,3,3,health,other
1153298,GT3,T,1,2,at_home,other
2873600,GT3,T,2,3,services,services
5926457,GT3,T,1,1,at_home,services
2664546,GT3,T,1,2,at_home,services
5564003,GT3,T,3,3,services,services
9926689,GT3,T,2,3,other,other
4361541,LE3,T,2,4,services,services
3999535,GT3,T,4,4,services,teacher
9144354,LE3,T,3,3,teacher,other
5739411,GT3,T,4,4,services,teacher
1562382,LE3,T,4,4,teacher,teacher
4768658,GT3,T,4,3,health,other
2330971,GT3,T,2,3,other,other
3282645,GT3,T,1,1,other,other
1131556,GT3,T,2,2,other,other
4062795,GT3,T,2,2,services,services
9622893,GT3,T,3,4,at_home,services
9310465,GT3,A,3,1,services,other
8361831,GT3,T,4,3,teacher,other
9285958,GT3,T,1,1,at_home,other
5502376,GT3,T,4,3,teacher,other
3651802,GT3,T,3,3,other,other
1313308,LE3,T,4,4,services,other
6581863,GT3,A,2,2,other,other
4943379,GT3,T,2,2,services,other
8686407,LE3,T,4,4,services,other
1084992,LE3,T,3,2,other,other
4139226,GT3,T,4,3,other,other
7061032,LE3,T,3,3,services,health
5169774,GT3,T,2,3,at_home,other
4155488,GT3,T,2,2,at_home,at_home
6247581,GT3,T,2,1,at_home,services
8667416,GT3,T,1,1,at_home,other
6469951,GT3,T,2,3,services,teacher
8731289,GT3,T,2,2,other,other
9915879,GT3,T,4,4,teacher,services
4475966,GT3,T,3,1,other,other
3561172,GT3,T,3,2,other,other
5355456,LE3,T,2,3,services,services
1282323,LE3,T,2,1,at_home,other
1582038,GT3,A,2,1,other,other
9069879,LE3,T,4,3,health,other
1889106,GT3,T,2,2,other,other
7287988,GT3,T,4,4,teacher,teacher
1210459,GT3,T,4,4,health,other
9112979,LE3,T,1,1,other,other
2945894,GT3,T,3,2,at_home,other
9912559,LE3,T,2,2,other,other
2790804,GT3,T,2,1,other,other
1696102,GT3,T,2,1,at_home,services
8104876,GT3,T,2,2,other,services
4264939,LE3,T,4,3,health,other
7774777,LE3,A,4,4,teacher,other
1968739,LE3,T,4,3,teacher,other
8132005,GT3,T,4,4,services,services
5974861,GT3,T,2,1,other,other
7058726,GT3,T,2,1,other,other
5693669,GT3,T,2,3,other,other
7677203,GT3,T,3,1,services,services
3018943,LE3,T,3,3,other,services
9506906,GT3,T,0,2,other,other
6041278,GT3,T,3,2,services,other
9580492,GT3,T,3,3,at_home,other
1962390,GT3,T,2,1,services,services
5617200,GT3,T,2,1,other,other
6658349,GT3,T,2,1,other,other
7045393,LE3,T,1,1,health,other
6768397,LE3,T,4,2,teacher,services
6883472,LE3,A,4,3,services,at_home
8419369,GT3,T,2,1,other,other
6647382,LE3,T,2,2,services,services
4878227,GT3,T,4,3,services,other
1924679,GT3,T,4,3,teacher,other
7058679,GT3,T,3,2,other,other
5423159,GT3,T,3,3,other,other
2626317,GT3,T,2,2,at_home,services
3449657,LE3,A,3,4,other,other
1314061,GT3,T,3,1,services,other
9949703,GT3,T,4,4,teacher,other
3584116,GT3,T,4,2,health,other
2520203,GT3,T,2,1,other,other
3226115,GT3,T,3,3,other,services
1312450,GT3,T,2,3,other,services
9322820,LE3,T,1,1,other,other
9589931,GT3,T,1,2,at_home,at_home
8598272,GT3,T,2,4,at_home,health
3126215,LE3,T,2,2,services,other
3363868,GT3,A,3,2,other,services
9675721,GT3,T,4,4,teacher,services
2030825,GT3,T,4,4,health,health
2543731,LE3,T,4,3,teacher,services
3797011,LE3,A,4,1,services,other
6299539,LE3,A,3,2,teacher,services
2455187,LE3,T,1,1,at_home,other
2438320,GT3,T,1,1,other,other
5821781,GT3,T,2,2,other,other
9158803,GT3,T,1,1,other,other
3167040,GT3,T,2,2,at_home,at_home
3901428,GT3,T,1,1,services,teacher
6006027,GT3,T,2,1,services,services
5427952,LE3,A,4,4,teacher,teacher
2131853,GT3,T,4,2,teacher,other
3769906,GT3,T,4,3,health,services
4972640,LE3,T,2,1,services,at_home
4433052,LE3,T,3,1,services,other
2142773,LE3,T,3,2,services,other
9402456,GT3,T,3,3,health,other
5178482,GT3,T,4,4,health,other
4562506,LE3,T,4,3,other,other
1371310,GT3,T,4,3,other,other
2264418,LE3,T,4,4,teacher,teacher
9969198,LE3,A,4,4,health,other
5227682,LE3,T,4,4,other,teacher
7997172,GT3,T,4,2,other,other
5429177,GT3,T,3,2,health,health
7190340,GT3,T,3,3,other,other
5861783,GT3,T,2,4,services,at_home
2419834,GT3,A,3,2,services,other
2665775,GT3,T,4,4,teacher,services
3875726,GT3,T,3,3,other,services
1815306,LE3,T,1,1,at_home,other
3181267,LE3,T,1,2,services,services
2790846,GT3,T,2,1,at_home,other
7218369,GT3,T,1,2,other,services
5141843,LE3,T,3,2,services,other
2977575,GT3,T,1,1,at_home,health
9579665,GT3,T,2,3,other,other
6678872,GT3,T,2,1,services,other
1213162,GT3,T,4,3,other,other
3962903,GT3,T,3,4,at_home,services
4466040,GT3,T,4,4,teacher,other
7414908,GT3,A,4,3,services,services
5203918,GT3,T,2,2,other,other
3553707,LE3,T,2,2,services,services
3462838,GT3,T,3,1,services,services
6702570,LE3,T,0,2,at_home,at_home
2561166,GT3,T,4,4,other,other
4358980,GT3,T,3,3,other,services
9969064,GT3,T,2,2,services,other
1086440,GT3,T,4,4,teacher,services
5877311,GT3,T,4,4,teacher,teacher
8363887,LE3,T,2,2,other,other
8362971,GT3,T,2,4,at_home,other
9205966,GT3,T,3,3,services,services
1307163,LE3,T,2,2,other,other
8324552,GT3,T,2,2,at_home,other
5604532,GT3,T,3,4,services,other
2164130,GT3,A,3,1,services,at_home
8715519,GT3,T,3,2,other,other
6596452,LE3,T,3,3,services,services
7859915,GT3,A,3,2,other,other
8850546,GT3,T,2,1,services,services
2984783,GT3,T,4,4,teacher,services
3616785,LE3,T,3,4,services,other
4834387,GT3,A,2,2,at_home,at_home
4186206,GT3,T,2,3,at_home,other
2823471,GT3,T,3,2,other,services
1792822,GT3,T,4,3,teacher,services
8696095,GT3,T,4,3,teacher,other
4330946,GT3,T,4,3,health,other
6446387,GT3,T,3,2,other,other
2463935,GT3,T,1,1,other,services
5087437,GT3,T,3,3,health,other
5977328,LE3,T,1,3,at_home,services
1140880,GT3,T,1,1,other,other
4557974,GT3,T,4,3,services,other
9112658,GT3,T,3,3,services,services
3470496,GT3,T,4,4,teacher,services
7701595,LE3,A,3,2,services,other
7550843,LE3,T,1,1,other,services
2051837,LE3,T,1,1,at_home,services
1291690,LE3,A,1,4,at_home,other
8564340,LE3,T,1,1,at_home,other
2860870,GT3,T,3,3,services,services
9692151,LE3,T,4,4,at_home,at_home
6839836,GT3,T,1,2,other,services
5627807,GT3,T,1,3,at_home,other
7570169,LE3,T,4,4,teacher,services
6513758,GT3,T,1,1,other,services
5700895,GT3,T,2,3,at_home,services
8532410,GT3,T,4,4,other,teacher
9178662,LE3,T,3,2,services,services
9789089,LE3,T,1,2,at_home,services
3497910,GT3,T,2,2,other,at_home
2642965,GT3,T,1,2,other,other
8627831,LE3,T,4,4,other,other
4539375,GT3,T,1,1,other,other
9247881,GT3,T,4,2,health,other
1157834,LE3,T,4,4,teacher,services
4705090,GT3,T,3,3,other,other
4335268,GT3,T,3,1,at_home,other
4646669,GT3,T,4,4,teacher,teacher
8932051,GT3,T,2,1,other,other
7002651,GT3,T,2,3,other,services
7973933,GT3,T,1,1,other,services
1677314,GT3,T,4,2,other,other
2614486,GT3,T,2,2,at_home,other
4610410,GT3,T,4,4,teacher,at_home
4244542,GT3,T,2,3,services,other
2911550,LE3,T,3,1,teacher,services
2036833,GT3,T,1,1,other,other
1484229,LE3,A,2,2,services,services
1137392,LE3,T,3,1,services,services
4723549,GT3,T,1,1,other,other
5968415,LE3,T,3,2,services,other
3185709,LE3,T,1,1,other,at_home
300755,GT3,A,4,4,at_home,teacher
363736,GT3,T,1,1,at_home,other
627420,LE3,T,1,1,at_home,other
690749,GT3,T,4,2,health,services
461815,GT3,T,3,3,other,other
792859,LE3,T,4,3,services,other
986329,LE3,T,2,2,other,other
163893,GT3,A,4,4,other,teacher
981421,LE3,A,3,2,services,other
693604,GT3,T,3,4,other,other
504077,GT3,T,4,4,teacher,health
256007,GT3,T,2,1,services,other
801310,LE3,T,4,4,health,services
214622,GT3,T,4,3,teacher,other
868543,GT3,A,2,2,other,other
895465,GT3,T,4,4,health,other
840766,GT3,T,4,4,services,services
993486,GT3,T,3,3,other,other
151912,GT3,T,3,2,services,services
306773,LE3,T,4,3,health,other
731336,GT3,T,4,3,teacher,other
304478,GT3,T,4,4,health,health
684939,LE3,T,4,2,teacher,other
101870,LE3,T,2,2,other,other
417117,GT3,T,2,4,services,health
960817,GT3,T,2,2,services,services
967990,GT3,T,2,2,other,other
946305,GT3,T,4,2,health,services
859303,LE3,A,3,4,services,other
362277,GT3,T,4,4,teacher,teacher
525779,GT3,T,4,4,health,services
154594,GT3,T,4,4,services,services
530728,GT3,T,4,3,teacher,at_home
334274,LE3,T,3,3,other,other
415104,GT3,T,3,2,other,other
659498,GT3,T,2,3,other,other
534443,LE3,T,4,3,teacher,services
411039,GT3,A,4,4,other,teacher
113292,GT3,T,3,4,services,health
242811,GT3,T,2,2,at_home,other
515919,LE3,T,2,2,other,other
261353,LE3,T,4,4,teacher,other
192881,GT3,T,4,4,services,teacher
771266,GT3,T,2,2,services,services
384648,LE3,T,2,2,other,at_home
564358,LE3,A,4,3,other,other
501290,LE3,A,3,3,other,services
323582,GT3,T,4,3,health,services
949067,GT3,T,4,2,teacher,other
926301,GT3,T,4,4,services,teacher
564561,LE3,T,2,2,services,services
253438,LE3,T,4,2,health,other
419874,LE3,A,4,2,health,health
649343,GT3,T,4,4,services,services
638838,LE3,A,3,3,other,other
697929,GT3,A,2,1,other,other
368772,GT3,A,4,3,services,services
508801,GT3,T,4,4,teacher,health
848104,LE3,T,1,2,other,at_home
823786,GT3,T,4,2,services,other
210614,GT3,T,4,4,health,teacher
420727,GT3,T,1,1,services,services
173099,LE3,T,1,2,other,services
764818,GT3,T,4,3,teacher,health
577426,LE3,T,4,3,services,services
224872,LE3,T,4,3,teacher,services
279868,GT3,A,4,4,other,services
692278,GT3,T,3,1,services,other
476279,LE3,T,2,2,health,services
548946,LE3,T,3,1,other,other
423311,GT3,T,3,1,other,other
514134,GT3,T,4,2,other,other
462922,GT3,T,1,1,other,other
855604,GT3,T,3,1,other,other
869458,GT3,T,3,3,other,services
577293,GT3,T,4,3,teacher,other
834854,GT3,T,4,0,teacher,other
737096,GT3,T,2,2,other,other
642562,GT3,T,2,1,other,other
408172,GT3,T,3,4,at_home,other
360832,GT3,T,2,3,other,services
297198,GT3,T,2,3,other,other
914705,LE3,T,3,2,services,other
779084,LE3,T,2,2,services,services
801435,GT3,T,1,1,other,other
204558,GT3,T,4,4,services,services
579389,LE3,T,2,2,at_home,other
464070,GT3,T,4,2,other,other
967364,GT3,T,2,2,services,other
866271,LE3,A,4,4,teacher,health
475454,GT3,T,3,3,other,other
792980,GT3,T,4,3,services,other
747052,LE3,T,3,1,other,other
127041,GT3,T,4,2,teacher,services
931762,LE3,T,2,2,services,health
825388,GT3,T,1,1,at_home,other
508345,GT3,T,4,3,services,other
499659,GT3,T,2,1,other,other
227682,GT3,T,4,4,other,other
974932,GT3,T,4,3,other,at_home
129323,GT3,T,4,4,services,services
821469,GT3,T,4,4,services,teacher
235012,GT3,T,4,4,services,other
164290,GT3,T,3,2,services,other
823089,GT3,A,3,4,services,other
500464,GT3,A,3,3,other,health
615242,GT3,T,2,2,other,other
523379,GT3,T,3,3,services,other
356834,GT3,T,4,4,other,other
538082,LE3,T,4,4,health,health
487849,LE3,A,4,4,teacher,teacher
409807,GT3,T,3,3,services,other
496551,GT3,T,2,2,at_home,other
427962,LE3,T,4,2,teacher,other
495239,GT3,T,2,1,health,services
357479,GT3,T,4,4,teacher,teacher
658287,GT3,T,4,4,other,teacher
367772,GT3,T,3,3,other,services
750299,GT3,T,1,3,other,other
412210,GT3,T,3,4,other,other
659173,GT3,T,1,2,at_home,services
177990,GT3,T,2,2,services,services
403836,LE3,T,2,4,other,health
514297,GT3,T,4,4,health,other
188526,GT3,T,2,2,other,other
603248,GT3,T,3,4,services,services
331562,LE3,A,3,4,other,other
285306,GT3,T,0,1,at_home,other
935963,GT3,T,2,2,services,other
144714,GT3,T,4,4,teacher,teacher
401465,GT3,T,3,4,services,teacher
369838,GT3,T,1,1,at_home,other
801677,LE3,T,2,2,other,other
662426,GT3,A,3,4,services,other
754444,GT3,T,3,4,at_home,teacher
196194,GT3,T,4,4,services,at_home
539156,GT3,T,3,4,at_home,other
807957,GT3,A,3,3,other,other
935987,LE3,T,1,1,services,other
318743,GT3,T,4,4,teacher,teacher
516660,GT3,T,4,3,teacher,services
310192,LE3,T,2,2,services,services
457763,GT3,T,4,4,teacher,services
429980,LE3,T,1,1,at_home,at_home
574927,GT3,T,2,1,other,other
360345,GT3,T,1,1,other,services
959386,GT3,T,3,2,health,services
228546,GT3,T,1,2,at_home,other
931053,GT3,T,4,4,teacher,teacher
145235,LE3,A,2,1,services,other
402717,LE3,T,1,1,other,other
397992,LE3,T,2,1,at_home,other
794754,GT3,T,3,3,services,services
606260,GT3,T,3,2,services,at_home
144909,GT3,T,4,4,other,teacher
351565,GT3,T,2,3,at_home,services
693836,LE3,T,1,2,other,other
284558,GT3,T,1,1,at_home,other
920102,GT3,T,2,2,at_home,other
780027,GT3,T,3,3,other,services
893181,LE3,T,2,1,at_home,other
214237,GT3,T,3,2,other,other
826960,LE3,T,1,2,other,other
838687,GT3,T,1,3,at_home,services
597504,LE3,T,1,1,other,services
963122,GT3,T,3,2,services,services
800864,GT3,T,2,2,other,other
183765,GT3,T,4,2,health,services
684822,GT3,T,2,2,other,other
349516,GT3,T,4,4,health,health
734093,GT3,T,3,4,other,other
812270,GT3,T,1,0,other,other
271891,LE3,T,4,4,teacher,other
996018,GT3,T,1,3,at_home,services
103798,LE3,T,3,3,other,other
211395,LE3,T,4,3,teacher,other
750836,GT3,T,2,2,services,other
676850,GT3,T,3,3,other,other
749603,GT3,T,4,2,teacher,services
939034,GT3,T,4,3,other,other
362398,GT3,T,4,3,teacher,other
948071,GT3,T,3,3,services,other
256123,GT3,T,2,4,services,services
948283,LE3,T,3,3,other,other
842484,GT3,T,3,2,other,other
710308,GT3,T,3,3,services,services
712254,GT3,T,1,2,services,services
216363,LE3,T,2,1,other,other
441803,GT3,A,3,3,health,other
932491,GT3,T,1,2,at_home,other
111785,GT3,T,2,3,services,services
197560,GT3,T,1,1,at_home,services
722068,GT3,T,1,2,at_home,services
587884,GT3,T,3,3,services,services
519799,GT3,T,2,3,other,other
618711,LE3,T,2,4,services,services
377997,GT3,T,4,4,services,teacher
618246,LE3,T,3,3,teacher,other
871652,GT3,T,4,4,services,teacher
784345,LE3,T,4,4,teacher,teacher
998230,GT3,T,4,3,health,other
534572,GT3,T,2,3,other,other
376631,GT3,T,1,1,other,other
134881,GT3,T,2,2,other,other
103989,GT3,T,2,2,services,services
436344,GT3,T,3,4,at_home,services
407994,GT3,A,3,1,services,other
976968,GT3,T,4,3,teacher,other
941794,GT3,T,1,1,at_home,other
775507,GT3,T,4,3,teacher,other
341975,GT3,T,3,3,other,other
537337,LE3,T,4,4,services,other
972278,GT3,A,2,2,other,other
619684,GT3,T,2,2,services,other
846297,LE3,T,4,4,services,other
275817,LE3,T,3,2,other,other
324783,GT3,T,4,3,other,other
120089,LE3,T,3,3,services,health
656735,GT3,T,2,3,at_home,other
221972,GT3,T,2,2,at_home,at_home
930281,GT3,T,2,1,at_home,services
391796,GT3,T,1,1,at_home,other
817183,GT3,T,2,3,services,teacher
730629,GT3,T,2,2,other,other
277490,GT3,T,4,4,teacher,services
237926,GT3,T,3,1,other,other
526617,GT3,T,3,2,other,other
565342,LE3,T,2,3,services,services
383824,LE3,T,2,1,at_home,other
855339,GT3,A,2,1,other,other
865707,LE3,T,4,3,health,other
775529,GT3,T,2,2,other,other
580489,GT3,T,4,4,teacher,teacher
903119,GT3,T,4,4,health,other
887334,LE3,T,1,1,other,other
884444,GT3,T,3,2,at_home,other
173725,LE3,T,2,2,other,other
907472,GT3,T,2,1,other,other
701255,GT3,T,2,1,at_home,services
999278,GT3,T,2,2,other,services
868608,LE3,T,4,3,health,other
239359,LE3,A,4,4,teacher,other
113354,LE3,T,4,3,teacher,other
666776,GT3,T,4,4,services,services
155894,GT3,T,2,1,other,other
109758,GT3,T,2,1,other,other
685821,GT3,T,2,3,other,other
348973,GT3,T,3,1,services,services
484844,LE3,T,3,3,other,services
368225,GT3,T,0,2,other,other
496767,GT3,T,3,2,services,other
184269,GT3,T,3,3,at_home,other
124761,GT3,T,2,1,services,services
332619,GT3,T,2,1,other,other
734174,GT3,T,2,1,other,other
919344,LE3,T,1,1,health,other
781648,LE3,T,4,2,teacher,services
625942,LE3,A,4,3,services,at_home
427349,GT3,T,2,1,other,other
816480,LE3,T,2,2,services,services
547666,GT3,T,4,3,services,other
402903,GT3,T,4,3,teacher,other
396405,GT3,T,3,2,other,other
894774,GT3,T,3,3,other,other
546032,GT3,T,2,2,at_home,services
112304,LE3,A,3,4,other,other
708570,GT3,T,3,1,services,other
198928,GT3,T,4,4,teacher,other
205862,GT3,T,4,2,health,other
853476,GT3,T,2,1,other,other
640451,GT3,T,3,3,other,services
748024,GT3,T,2,3,other,services
322923,LE3,T,1,1,other,other
911001,GT3,T,1,2,at_home,at_home
908763,GT3,T,2,4,at_home,health
422332,LE3,T,2,2,services,other
864961,GT3,A,3,2,other,services
368556,GT3,T,4,4,teacher,services
712586,GT3,T,4,4,health,health
461666,LE3,T,4,3,teacher,services
418692,LE3,A,4,1,services,other
781527,LE3,A,3,2,teacher,services
797326,LE3,T,1,1,at_home,other
756200,GT3,T,1,1,other,other
226606,GT3,T,2,2,other,other
156549,GT3,T,1,1,other,other
296578,GT3,T,2,2,at_home,at_home
371241,GT3,T,1,1,services,teacher
579712,GT3,T,2,1,services,services
940378,LE3,A,4,4,teacher,teacher
884142,GT3,T,4,2,teacher,other
404005,GT3,T,4,3,health,services
756144,LE3,T,2,1,services,at_home
217017,LE3,T,3,1,services,other
808625,LE3,T,3,2,services,other
206832,GT3,T,3,3,health,other
133042,GT3,T,4,4,health,other
595656,LE3,T,4,3,other,other
471267,GT3,T,4,3,other,other
671574,LE3,T,4,4,teacher,teacher
119719,LE3,A,4,4,health,other
942826,LE3,T,4,4,other,teacher
495564,GT3,T,4,2,other,other
864731,GT3,T,3,2,health,health
310782,GT3,T,3,3,other,other
804702,GT3,T,2,4,services,at_home
657390,GT3,A,3,2,services,other
121373,GT3,T,4,4,teacher,services
424614,GT3,T,3,3,other,services
398007,LE3,T,1,1,at_home,other
614269,LE3,T,1,2,services,services
116766,GT3,T,2,1,at_home,other
939287,GT3,T,1,2,other,services
288118,LE3,T,3,2,services,other
182288,GT3,T,1,1,at_home,health
273648,GT3,T,2,3,other,other
798081,GT3,T,2,1,services,other
332449,GT3,T,4,3,other,other
173816,GT3,T,3,4,at_home,services
288385,GT3,T,4,4,teacher,other
465354,GT3,A,4,3,services,services
472310,GT3,T,2,2,other,other
883806,LE3,T,2,2,services,services
690211,GT3,T,3,1,services,services
